Local time,open,high,low,close,volume
05.05.2003 00:00:00.000 GMT+0300,118.99,119.07,118.471,118.653,563551.1134
06.05.2003 00:00:00.000 GMT+0300,118.641,118.771,117.3,117.55,567318.3077
07.05.2003 00:00:00.000 GMT+0300,117.506,117.848,116.062,116.353,562770.3985
08.05.2003 00:00:00.000 GMT+0300,116.361,116.979,115.95,116.873,565066.5899
09.05.2003 00:00:00.000 GMT+0300,116.855,117.626,116.81,117.201,565239.7001
12.05.2003 00:00:00.000 GMT+0300,117.296,117.296,116.318,117.075,568494.0019
13.05.2003 00:00:00.000 GMT+0300,117.063,117.548,116.352,116.611,566359.6035
14.05.2003 00:00:00.000 GMT+0300,116.604,116.858,115.592,116.21,562851.5996
15.05.2003 00:00:00.000 GMT+0300,116.193,116.565,115.292,116.565,565179.2041
16.05.2003 00:00:00.000 GMT+0300,116.588,116.616,115.788,115.948,560422.2021
19.05.2003 00:00:00.000 GMT+0300,115.628,117.455,115.04,117.325,568644.4034
20.05.2003 00:00:00.000 GMT+0300,117.289,117.397,116.585,116.706,560665.5
21.05.2003 00:00:00.000 GMT+0300,116.73,117.523,116.499,117.267,572869.1954
22.05.2003 00:00:00.000 GMT+0300,117.266,117.776,116.898,117.226,572203.1914
23.05.2003 00:00:00.000 GMT+0300,117.223,117.433,116.74,116.871,564114.1005
26.05.2003 00:00:00.000 GMT+0300,116.813,117.387,116.669,116.841,565039.0928
27.05.2003 00:00:00.000 GMT+0300,116.836,117.317,116.18,117.279,574499.003
28.05.2003 00:00:00.000 GMT+0300,117.283,118.9,116.933,118.689,566670.9004
29.05.2003 00:00:00.000 GMT+0300,118.68,119.144,117.903,118.272,564631.6944
30.05.2003 00:00:00.000 GMT+0300,118.233,119.626,117.912,119.333,566889.3984
01.06.2003 00:00:00.000 GMT+0300,119.333,119.333,119.293,119.293,0
02.06.2003 00:00:00.000 GMT+0300,119.571,119.645,118.313,118.56,515332.3037
03.06.2003 00:00:00.000 GMT+0300,118.537,119.335,118.283,119.165,565621.9052
04.06.2003 00:00:00.000 GMT+0300,119.166,119.377,118.343,118.818,569218.4893
05.06.2003 00:00:00.000 GMT+0300,118.81,118.942,117.352,117.756,576964.3097
06.06.2003 00:00:00.000 GMT+0300,117.711,118.929,117.563,118.715,563083.9962
09.06.2003 00:00:00.000 GMT+0300,118.687,118.782,117.793,118.187,564556.1943
10.06.2003 00:00:00.000 GMT+0300,118.207,118.379,117.536,117.798,566326.3985
11.06.2003 00:00:00.000 GMT+0300,117.848,118.114,117.489,117.692,562637.3057
12.06.2003 00:00:00.000 GMT+0300,117.692,117.952,117.458,117.593,563805.7001
13.06.2003 00:00:00.000 GMT+0300,117.637,117.881,117.164,117.507,560752.6983
16.06.2003 00:00:00.000 GMT+0300,117.377,117.785,117.153,117.617,558559.0977
17.06.2003 00:00:00.000 GMT+0300,117.622,118.398,117.428,118.131,572288.2988
18.06.2003 00:00:00.000 GMT+0300,118.113,118.691,117.73,117.805,565051.6016
19.06.2003 00:00:00.000 GMT+0300,117.798,119.094,117.754,118.279,563789.4064
20.06.2003 00:00:00.000 GMT+0300,118.313,118.633,118.003,118.318,562698.6954
23.06.2003 00:00:00.000 GMT+0300,118.414,118.612,117.461,117.676,566153.0049
24.06.2003 00:00:00.000 GMT+0300,117.637,118.08,117.562,117.935,563787.2022
25.06.2003 00:00:00.000 GMT+0300,117.959,118.148,117.317,117.97,570492.7988
26.06.2003 00:00:00.000 GMT+0300,117.95,119.45,117.892,119.4,561584.502
27.06.2003 00:00:00.000 GMT+0300,119.382,120.064,119.162,119.669,567860.3037
30.06.2003 00:00:00.000 GMT+0300,119.607,120.263,119.559,119.733,554436.1025
01.07.2003 00:00:00.000 GMT+0300,119.72,119.966,119.015,119.443,564505.5946
02.07.2003 00:00:00.000 GMT+0300,119.415,119.47,117.849,118.018,558526.3975
03.07.2003 00:00:00.000 GMT+0300,118.039,118.644,117.863,118.216,566308.1094
04.07.2003 00:00:00.000 GMT+0300,118.209,118.511,117.956,118.143,565542.8993
07.07.2003 00:00:00.000 GMT+0300,118.009,118.316,117.817,118.172,562905.5029
08.07.2003 00:00:00.000 GMT+0300,118.176,118.686,117.6,118.223,568036.2969
09.07.2003 00:00:00.000 GMT+0300,118.223,118.452,117.59,117.741,568433.5078
10.07.2003 00:00:00.000 GMT+0300,117.751,118.04,117.367,117.6,569789.5079
11.07.2003 00:00:00.000 GMT+0300,117.564,118.005,117.533,117.685,565319.2939
14.07.2003 00:00:00.000 GMT+0300,117.792,117.845,117.297,117.638,561290.6982
15.07.2003 00:00:00.000 GMT+0300,117.648,117.929,116.675,117.857,568186.9971
16.07.2003 00:00:00.000 GMT+0300,117.862,118.679,117.772,118.183,564746.5977
17.07.2003 00:00:00.000 GMT+0300,118.179,118.969,117.867,118.783,562705.7051
18.07.2003 00:00:00.000 GMT+0300,118.766,119.254,118.237,118.404,565500.0986
21.07.2003 00:00:00.000 GMT+0300,118.524,118.797,118.228,118.485,563075.0996
22.07.2003 00:00:00.000 GMT+0300,118.47,119.419,118.394,119.113,553094.7998
23.07.2003 00:00:00.000 GMT+0300,119.086,119.16,118.592,118.902,560711.5957
24.07.2003 00:00:00.000 GMT+0300,118.861,119.318,118.524,118.949,560779.4971
25.07.2003 00:00:00.000 GMT+0300,118.92,119.301,118.534,118.876,565087.9922
28.07.2003 00:00:00.000 GMT+0300,119.276,119.628,118.777,119.412,566113.5009
29.07.2003 00:00:00.000 GMT+0300,119.421,119.946,119.083,119.929,565427.79
30.07.2003 00:00:00.000 GMT+0300,119.864,120.751,119.593,120.265,565982.9942
31.07.2003 00:00:00.000 GMT+0300,120.278,120.63,119.724,120.557,561450.0108
01.08.2003 00:00:00.000 GMT+0300,120.568,120.704,119.778,120.014,547730.8048
04.08.2003 00:00:00.000 GMT+0300,120.178,120.596,119.653,120.349,562136.1983
05.08.2003 00:00:00.000 GMT+0300,120.341,120.627,119.723,119.846,558437.9053
06.08.2003 00:00:00.000 GMT+0300,119.846,120.432,119.69,120.276,570762.004
07.08.2003 00:00:00.000 GMT+0300,120.266,120.292,118.805,118.971,570520.4971
08.08.2003 00:00:00.000 GMT+0300,118.973,119.266,118.806,118.988,362288.7959
11.08.2003 00:00:00.000 GMT+0300,119.07,119.105,118.17,118.585,561808.5976
12.08.2003 00:00:00.000 GMT+0300,118.591,118.765,118.354,118.736,599864.6963
13.08.2003 00:00:00.000 GMT+0300,118.723,119.466,118.497,119.133,602698.3037
14.08.2003 00:00:00.000 GMT+0300,119.095,119.673,118.887,119.143,596015.2012
15.08.2003 00:00:00.000 GMT+0300,119.115,119.459,118.746,119.213,577427.1967
18.08.2003 00:00:00.000 GMT+0300,119.202,119.763,119.057,119.452,587675.3965
19.08.2003 00:00:00.000 GMT+0300,119.458,119.782,118.226,118.365,602297.0029
20.08.2003 00:00:00.000 GMT+0300,118.347,118.768,117.771,118.073,610071.1894
21.08.2003 00:00:00.000 GMT+0300,118.142,118.221,117.522,117.803,600482.1006
22.08.2003 00:00:00.000 GMT+0300,117.824,118.045,117.297,117.54,590483.2968
25.08.2003 00:00:00.000 GMT+0300,117.637,117.692,117.132,117.335,591661.297
26.08.2003 00:00:00.000 GMT+0300,117.322,117.773,117.158,117.35,610896.0929
27.08.2003 00:00:00.000 GMT+0300,117.34,118.004,117.277,117.432,606062.2931
28.08.2003 00:00:00.000 GMT+0300,117.423,117.63,117.203,117.313,608944.5958
29.08.2003 00:00:00.000 GMT+0300,117.313,117.415,116.146,116.922,601150.8077
01.09.2003 00:00:00.000 GMT+0300,116.742,116.823,116.327,116.54,512323.3028
02.09.2003 00:00:00.000 GMT+0300,116.557,117.244,115.824,116.583,592493.0019
03.09.2003 00:00:00.000 GMT+0300,116.578,116.589,115.84,115.884,607656.7022
04.09.2003 00:00:00.000 GMT+0300,115.872,117.08,115.733,116.736,601414.2978
05.09.2003 00:00:00.000 GMT+0300,116.738,117.154,116.433,116.817,605168.0108
08.09.2003 00:00:00.000 GMT+0300,116.827,117.711,116.363,116.844,605428.9931
09.09.2003 00:00:00.000 GMT+0300,116.835,116.954,116.06,116.841,598759.9981
10.09.2003 00:00:00.000 GMT+0300,116.84,117.253,116.614,117.075,595995.499
11.09.2003 00:00:00.000 GMT+0300,117.095,117.272,116.553,117.098,587320.2032
12.09.2003 00:00:00.000 GMT+0300,117.12,117.502,116.732,117.294,585642.4112
15.09.2003 00:00:00.000 GMT+0300,117.301,117.68,117.185,117.477,590748.3975
16.09.2003 00:00:00.000 GMT+0300,117.46,117.475,116.002,116.186,600199.2051
17.09.2003 00:00:00.000 GMT+0300,116.14,116.496,115.843,116.032,600694.1982
18.09.2003 00:00:00.000 GMT+0300,116.036,116.176,114.745,115.251,606812.8007
19.09.2003 00:00:00.000 GMT+0300,115.267,115.511,113.605,113.958,603061.5996
22.09.2003 00:00:00.000 GMT+0300,113.579,113.579,111.373,112.225,611532.4962
23.09.2003 00:00:00.000 GMT+0300,112.218,112.376,110.911,112.295,608048.1944
24.09.2003 00:00:00.000 GMT+0300,112.296,112.383,111.248,111.732,615454.7988
25.09.2003 00:00:00.000 GMT+0300,111.743,112.33,111.452,112.204,608256.0059
26.09.2003 00:00:00.000 GMT+0300,112.237,112.293,111.614,111.723,602190.7951
29.09.2003 00:00:00.000 GMT+0300,111.785,111.811,110.738,110.787,604344.8076
30.09.2003 00:00:00.000 GMT+0300,110.771,112.057,110.092,111.509,603225.297
