Gmt time,Open,High,Low,Close,Volume
11.05.2017 00:00:00.000,37.076,37.099,36.998,37.066,26.7677
12.05.2017 00:00:00.000,37.107,37.119,37.059,37.095,21.5367
15.05.2017 00:00:00.000,37.136,37.209,37.136,37.165,24.3591
16.05.2017 00:00:00.000,37.205,37.236,37.171,37.206,20.3559
17.05.2017 00:00:00.000,37.094,37.139,37.032,37.032,28.535
18.05.2017 00:00:00.000,36.924,37.120,36.922,37.074,30.0758
19.05.2017 00:00:00.000,37.160,37.210,37.136,37.157,23.7702
22.05.2017 00:00:00.000,37.209,37.299,37.207,37.264,41.8955
23.05.2017 00:00:00.000,37.224,37.300,37.224,37.277,20.4408
24.05.2017 00:00:00.000,37.294,37.350,37.266,37.327,11.7966
25.05.2017 00:00:00.000,37.324,37.390,37.303,37.303,17.3023
26.05.2017 00:00:00.000,37.293,37.338,37.281,37.304,22.3488
30.05.2017 00:00:00.000,37.302,37.399,37.302,37.385,21.205
31.05.2017 00:00:00.000,37.371,37.400,37.326,37.376,26.9712
01.06.2017 00:00:00.000,37.203,37.259,37.168,37.233,14.2135
02.06.2017 00:00:00.000,37.226,37.274,37.226,37.266,42.8351
05.06.2017 00:00:00.000,37.264,37.279,37.211,37.224,40.46
06.06.2017 00:00:00.000,37.204,37.239,37.176,37.183,40.4412
07.06.2017 00:00:00.000,37.187,37.209,37.047,37.103,21.0071
08.06.2017 00:00:00.000,37.092,37.160,37.026,37.126,14.3234
09.06.2017 00:00:00.000,37.134,37.189,37.071,37.112,31.123
12.06.2017 00:00:00.000,37.125,37.229,37.122,37.216,30.3842
13.06.2017 00:00:00.000,37.223,37.280,37.223,37.266,18.5308
14.06.2017 00:00:00.000,37.295,37.320,37.216,37.241,37.0678
15.06.2017 00:00:00.000,37.167,37.200,37.148,37.165,34.042
16.06.2017 00:00:00.000,37.185,37.186,37.072,37.074,37.0796
19.06.2017 00:00:00.000,37.152,37.230,37.152,37.182,21.7281
20.06.2017 00:00:00.000,37.146,37.150,37.081,37.087,53.1615
21.06.2017 00:00:00.000,37.100,37.100,36.850,36.850,1.58
22.06.2017 00:00:00.000,36.880,36.960,36.870,36.950,2.91
23.06.2017 00:00:00.000,36.990,37.080,36.940,37.080,0.46
26.06.2017 00:00:00.000,37.100,37.160,37.070,37.130,1.87
27.06.2017 00:00:00.000,37.150,37.150,37.040,37.050,1.81
28.06.2017 00:00:00.000,37.130,37.190,37.060,37.190,0.7
29.06.2017 00:00:00.000,37.180,37.190,37.040,37.110,1.17
30.06.2017 00:00:00.000,37.160,37.200,37.110,37.190,0.6
03.07.2017 00:00:00.000,37.070,37.100,36.990,37.000,0.47
05.07.2017 00:00:00.000,37.040,37.040,36.940,36.950,0.7
06.07.2017 00:00:00.000,36.960,36.960,36.800,36.860,1.17
07.07.2017 00:00:00.000,36.840,36.880,36.780,36.830,1.06
10.07.2017 00:00:00.000,36.820,36.910,36.820,36.890,0.44
11.07.2017 00:00:00.000,36.880,36.910,36.830,36.870,0.64
12.07.2017 00:00:00.000,37.020,37.090,37.010,37.090,0.41
13.07.2017 00:00:00.000,37.080,37.110,37.060,37.110,0.23
14.07.2017 00:00:00.000,37.110,37.190,37.090,37.170,0.38
17.07.2017 00:00:00.000,37.210,37.220,37.170,37.210,0.15
18.07.2017 00:00:00.000,37.210,37.270,37.180,37.240,0.19
19.07.2017 00:00:00.000,37.280,37.340,37.280,37.330,0.35
20.07.2017 00:00:00.000,37.340,37.360,37.300,37.340,0.36
21.07.2017 00:00:00.000,37.320,37.350,37.290,37.300,0.44
24.07.2017 00:00:00.000,37.330,37.340,37.290,37.340,0.33
25.07.2017 00:00:00.000,37.400,37.400,37.350,37.360,0.24
26.07.2017 00:00:00.000,37.380,37.450,37.380,37.410,0.52
27.07.2017 00:00:00.000,37.420,37.430,37.340,37.410,0.62
28.07.2017 00:00:00.000,37.390,37.400,37.350,37.380,0.27
31.07.2017 00:00:00.000,37.390,37.440,37.380,37.400,0.21
01.08.2017 00:00:00.000,37.270,37.300,37.250,37.290,0.37
02.08.2017 00:00:00.000,37.280,37.310,37.250,37.280,0.38
03.08.2017 00:00:00.000,37.280,37.280,37.190,37.210,0.5
04.08.2017 00:00:00.000,37.200,37.230,37.180,37.200,0.34
07.08.2017 00:00:00.000,37.230,37.230,37.180,37.200,0.07
08.08.2017 00:00:00.000,37.190,37.220,37.040,37.070,2.25
09.08.2017 00:00:00.000,37.000,37.010,36.910,36.910,1.12
10.08.2017 00:00:00.000,36.900,36.900,36.680,36.680,1.23
11.08.2017 00:00:00.000,36.750,36.790,36.720,36.750,1.02
14.08.2017 00:00:00.000,36.910,36.990,36.900,36.930,0.59
15.08.2017 00:00:00.000,36.950,36.970,36.920,36.970,0.29
16.08.2017 00:00:00.000,36.950,37.000,36.950,36.960,0.41
17.08.2017 00:00:00.000,36.950,36.950,36.720,36.760,1.14
18.08.2017 00:00:00.000,36.820,36.880,36.740,36.800,1.03
21.08.2017 00:00:00.000,36.820,36.880,36.800,36.850,0.55
22.08.2017 00:00:00.000,36.900,37.040,36.890,37.010,0.4
23.08.2017 00:00:00.000,36.970,37.010,36.940,37.000,0.51
24.08.2017 00:00:00.000,37.010,37.050,36.970,37.040,0.41
25.08.2017 00:00:00.000,37.060,37.120,37.050,37.120,0.39
28.08.2017 00:00:00.000,37.120,37.130,37.080,37.110,0.35
29.08.2017 00:00:00.000,37.020,37.090,37.020,37.090,0.4
30.08.2017 00:00:00.000,37.080,37.160,37.080,37.160,0.24
31.08.2017 00:00:00.000,37.200,37.250,37.180,37.240,0.22
01.09.2017 00:00:00.000,37.070,37.100,37.070,37.100,0.14
05.09.2017 00:00:00.000,37.070,37.090,36.990,37.060,0.69
06.09.2017 00:00:00.000,37.090,37.110,37.010,37.020,0.64
07.09.2017 00:00:00.000,37.070,37.080,37.030,37.030,0.36
08.09.2017 00:00:00.000,37.020,37.040,36.930,36.930,0.28
11.09.2017 00:00:00.000,37.000,37.090,36.990,37.030,1.27
12.09.2017 00:00:00.000,37.040,37.100,37.030,37.090,1.34
13.09.2017 00:00:00.000,37.040,37.090,37.040,37.070,1.12
14.09.2017 00:00:00.000,37.060,37.160,37.060,37.150,1.83
15.09.2017 00:00:00.000,37.119,37.178,37.117,37.167,29.0787
18.09.2017 00:00:00.000,37.147,37.178,37.127,37.137,26.5752
19.09.2017 00:00:00.000,37.148,37.198,37.137,37.197,21.465
20.09.2017 00:00:00.000,37.187,37.228,37.137,37.197,26.1368
21.09.2017 00:00:00.000,37.187,37.198,37.127,37.147,21.1859
22.09.2017 00:00:00.000,37.148,37.188,37.137,37.187,14.8312
25.09.2017 00:00:00.000,37.188,37.228,37.177,37.218,35.3302
26.09.2017 00:00:00.000,37.237,37.298,37.237,37.268,22.6038
27.09.2017 00:00:00.000,37.257,37.288,37.237,37.277,53.1166
28.09.2017 00:00:00.000,37.268,37.298,37.248,37.267,37.3291
29.09.2017 00:00:00.000,37.278,37.308,37.257,37.308,134.2137
02.10.2017 00:00:00.000,37.158,37.168,37.127,37.158,45.3006
03.10.2017 00:00:00.000,37.148,37.228,37.137,37.218,76.8556
04.10.2017 00:00:00.000,37.208,37.208,37.157,37.178,26.8054
05.10.2017 00:00:00.000,37.168,37.218,37.158,37.217,46.9333
06.10.2017 00:00:00.000,37.178,37.218,37.147,37.178,46.0789
09.10.2017 00:00:00.000,37.217,37.217,37.177,37.188,24.972
10.10.2017 00:00:00.000,37.217,37.238,37.177,37.238,32.7428
11.10.2017 00:00:00.000,37.218,37.218,37.177,37.188,32.7382
12.10.2017 00:00:00.000,37.178,37.188,37.147,37.148,30.5147
13.10.2017 00:00:00.000,37.187,37.188,37.137,37.158,42.5746
16.10.2017 00:00:00.000,37.177,37.188,37.148,37.178,35.3508
17.10.2017 00:00:00.000,37.168,37.248,37.167,37.228,45.961
18.10.2017 00:00:00.000,37.248,37.288,37.247,37.267,42.1903
19.10.2017 00:00:00.000,37.247,37.288,37.227,37.277,34.0634
20.10.2017 00:00:00.000,37.278,37.328,37.278,37.307,37.7301
23.10.2017 00:00:00.000,37.317,37.338,37.277,37.278,23.6317
24.10.2017 00:00:00.000,37.278,37.318,37.278,37.298,30.8393
25.10.2017 00:00:00.000,37.248,37.258,37.147,37.178,46.0955
26.10.2017 00:00:00.000,37.198,37.208,37.117,37.138,43.4585
27.10.2017 00:00:00.000,37.147,37.228,37.128,37.217,37.0685
30.10.2017 00:00:00.000,37.220,37.240,37.170,37.200,1.2056
31.10.2017 00:00:00.000,37.230,37.240,37.200,37.230,0.9335
01.11.2017 00:00:00.000,37.100,37.100,37.020,37.030,0.9734
02.11.2017 00:00:00.000,37.030,37.050,36.960,37.007,29.7665
03.11.2017 00:00:00.000,37.008,37.048,36.967,37.008,42.0207
06.11.2017 00:00:00.000,37.008,37.048,36.977,36.988,37.9525
07.11.2017 00:00:00.000,36.987,37.008,36.907,36.927,47.758
